location,date_time,temperature,precipitation,wind_speed
Athens,2025-02-25 04:00:00,8.1,0.07,0.9
Athens,2025-02-25 05:00:00,7.5,0.0,0.8
Athens,2025-02-25 06:00:00,7.6,0.0,0.8
Athens,2025-02-25 07:00:00,10.3,0.0,0.6
Athens,2025-02-25 08:00:00,11.8,0.0,0.5
Athens,2025-02-25 09:00:00,13.1,0.0,0.7
Athens,2025-02-25 10:00:00,13.8,0.0,1.3
Athens,2025-02-25 11:00:00,14.2,0.0,1.6
Athens,2025-02-25 12:00:00,14.5,0.0,1.4
Athens,2025-02-25 13:00:00,14.4,0.0,1.5
Athens,2025-02-25 14:00:00,14.1,0.0,1.7
Athens,2025-02-25 15:00:00,13.3,0.0,1.5
Athens,2025-02-25 16:00:00,12.2,0.0,1.1
Athens,2025-02-25 17:00:00,11.1,0.0,0.7
Athens,2025-02-25 18:00:00,10.7,0.0,0.6
Athens,2025-02-25 19:00:00,10.5,0.0,0.8
Athens,2025-02-25 20:00:00,10.0,0.0,0.9
Athens,2025-02-25 21:00:00,9.5,0.0,0.9
Athens,2025-02-25 22:00:00,8.7,0.0,0.9
Athens,2025-02-25 23:00:00,8.2,0.0,1.0
Athens,2025-02-26 00:00:00,7.4,0.0,1.1
Athens,2025-02-26 01:00:00,7.0,0.0,1.0
Athens,2025-02-26 02:00:00,7.0,0.0,1.2
Athens,2025-02-26 03:00:00,7.2,0.0,1.0
Athens,2025-02-26 04:00:00,7.1,0.0,1.0
Athens,2025-02-26 05:00:00,7.3,0.0,1.0
Athens,2025-02-26 06:00:00,8.1,0.0,0.9
Athens,2025-02-26 07:00:00,10.3,0.0,0.6
Athens,2025-02-26 08:00:00,12.6,0.0,0.2
Athens,2025-02-26 09:00:00,13.7,0.0,1.2
Athens,2025-02-26 10:00:00,14.2,0.0,1.8
Athens,2025-02-26 11:00:00,14.4,0.0,1.8
Athens,2025-02-26 12:00:00,14.6,0.0,2.3
Athens,2025-02-26 13:00:00,14.5,0.17,2.1
Athens,2025-02-26 14:00:00,14.4,0.0,2.1
Athens,2025-02-26 15:00:00,13.7,0.0,2.0
Athens,2025-02-26 16:00:00,12.8,0.0,1.0
Athens,2025-02-26 17:00:00,11.6,0.0,0.5
Athens,2025-02-26 18:00:00,11.1,0.0,0.4
Athens,2025-02-26 19:00:00,10.8,0.0,0.7
Athens,2025-02-26 20:00:00,10.0,0.0,0.6
Athens,2025-02-26 21:00:00,9.3,0.0,0.6
